# Author: LRP
# Date: 15-06-2015
# Description:
# Spectrum of NGC6822-RSG01 taken from a grid of synthetic spectra
# At model resolution and sampling
# 1: Wavelength
# 2: Norm. Flux
1.174217 1.001474
1.174247 1.005127
1.174276 1.005425
1.174306 1.003472
1.174336 1.001568
1.174365 1.000196
1.174395 1.000682
1.174425 1.002478
1.174454 1.004024
1.174484 1.004657
1.174514 1.004240
1.174543 1.002994
1.174573 1.000876
1.174603 0.996545
1.174632 0.989059
1.174662 0.977050
1.174692 0.966230
1.174721 0.958428
1.174751 0.956735
1.174781 0.960210
1.174810 0.965640
1.174840 0.969500
1.174870 0.973022
1.174899 0.978020
1.174929 0.983773
1.174959 0.990707
1.174988 0.995814
1.175018 0.999122
1.175048 0.999661
1.175077 0.994742
1.175107 0.981315
1.175137 0.951397
1.175166 0.912436
1.175196 0.883306
1.175226 0.875404
1.175255 0.892864
1.175285 0.919940
1.175315 0.944131
1.175344 0.958582
1.175374 0.968132
1.175404 0.974643
1.175433 0.979182
1.175463 0.982320
1.175493 0.985404
1.175522 0.988940
1.175552 0.990368
1.175582 0.987950
1.175611 0.983356
1.175641 0.979838
1.175671 0.979626
1.175700 0.979449
1.175730 0.974628
1.175760 0.964908
1.175789 0.954903
1.175819 0.953511
1.175849 0.961695
1.175878 0.976000
1.175908 0.988379
1.175938 0.997630
1.175967 1.001544
1.175997 1.002806
1.176027 1.002854
1.176056 1.002325
1.176086 1.001681
1.176116 1.000913
1.176145 0.999852
1.176175 0.998274
1.176205 0.997119
1.176234 0.997006
1.176264 0.998398
1.176294 1.000332
1.176323 1.001796
1.176353 1.002210
1.176383 1.001806
1.176412 1.000910
1.176442 0.998472
1.176472 0.990519
1.176501 0.972973
1.176531 0.944855
1.176561 0.916353
1.176590 0.898558
1.176620 0.900916
1.176650 0.926374
1.176679 0.956810
1.176709 0.979633
1.176739 0.991909
1.176768 0.998819
1.176798 1.000926
1.176828 0.998639
1.176857 0.987002
1.176887 0.957953
1.176917 0.916521
1.176946 0.875665
1.176976 0.850155
1.177006 0.856861
1.177035 0.886921
1.177065 0.926308
1.177095 0.959366
1.177124 0.976572
1.177154 0.978362
1.177184 0.958474
1.177213 0.910405
1.177243 0.857317
1.177273 0.818435
1.177302 0.822928
1.177332 0.857393
1.177362 0.907329
1.177391 0.954840
1.177421 0.982120
1.177451 0.994836
1.177480 0.998390
1.177510 0.997096
1.177540 0.993664
1.177569 0.989832
1.177599 0.986206
1.177629 0.981629
1.177658 0.973974
1.177688 0.963858
1.177718 0.956427
1.177747 0.955035
1.177777 0.963637
1.177807 0.977786
1.177836 0.986574
1.177866 0.989398
1.177896 0.985075
1.177925 0.971805
1.177955 0.947043
1.177985 0.914784
1.178014 0.873305
1.178044 0.835810
1.178074 0.808385
1.178103 0.801070
1.178133 0.802494
1.178163 0.806604
1.178192 0.807500
1.178222 0.792772
1.178252 0.763455
1.178281 0.713666
1.178311 0.678254
1.178341 0.686040
1.178370 0.748279
1.178400 0.846634
1.178430 0.927395
1.178459 0.972124
1.178489 0.993950
1.178519 0.999510
1.178548 1.000603
1.178578 1.000805
1.178608 1.001239
1.178637 1.001750
1.178667 1.001054
1.178697 0.996975
1.178726 0.987617
1.178756 0.974001
1.178786 0.963094
1.178815 0.960053
1.178845 0.965864
1.178875 0.976767
1.178904 0.986816
1.178934 0.991839
1.178964 0.993656
1.178993 0.995128
1.179023 0.997083
1.179053 0.999523
1.179082 1.001388
1.179112 1.002268
1.179142 1.002289
1.179171 1.001269
1.179201 0.999006
1.179231 0.994744
1.179260 0.988761
1.179290 0.982025
1.179320 0.976705
1.179349 0.976323
1.179379 0.979543
1.179409 0.983588
1.179438 0.983966
1.179468 0.977485
1.179498 0.958820
1.179527 0.937579
1.179557 0.913147
1.179587 0.902635
1.179616 0.902769
1.179646 0.899285
1.179676 0.886685
1.179705 0.872926
1.179735 0.879862
1.179765 0.912545
1.179794 0.946519
1.179824 0.974268
1.179854 0.981248
1.179883 0.970055
1.179913 0.950479
1.179943 0.926727
1.179972 0.910553
1.180002 0.912202
1.180032 0.931592
1.180061 0.953896
1.180091 0.974829
1.180121 0.988082
1.180150 0.993866
1.180180 0.994178
1.180210 0.990427
1.180239 0.985632
1.180269 0.983604
1.180299 0.985497
1.180328 0.990927
1.180358 0.997455
1.180388 1.001379
1.180417 1.001666
1.180447 0.999665
1.180477 0.996336
1.180506 0.993354
1.180536 0.991461
1.180566 0.991312
1.180595 0.992912
1.180625 0.995522
1.180655 0.997848
1.180684 0.997671
1.180714 0.993148
1.180744 0.982392
1.180773 0.967208
1.180803 0.960080
1.180833 0.962742
1.180862 0.971227
1.180892 0.982304
1.180922 0.991287
1.180951 0.995981
1.180981 0.994446
1.181011 0.982127
1.181040 0.954208
1.181070 0.919612
1.181100 0.883700
1.181129 0.858838
1.181159 0.857604
1.181189 0.870193
1.181218 0.884671
1.181248 0.898708
1.181278 0.915827
1.181307 0.939377
1.181337 0.960154
1.181367 0.981322
1.181396 0.995364
1.181426 1.001256
1.181456 1.004986
1.181485 1.006490
1.181515 1.006284
1.181545 1.004511
1.181574 1.001076
1.181604 0.996023
1.181634 0.990479
1.181663 0.985956
1.181693 0.983806
1.181723 0.984012
1.181752 0.984793
1.181782 0.982484
1.181812 0.976865
1.181841 0.971212
1.181871 0.967969
1.181901 0.970986
1.181930 0.980644
1.181960 0.988849
1.181990 0.992616
1.182019 0.990446
1.182049 0.983494
1.182079 0.978224
1.182108 0.977452
1.182138 0.983293
1.182168 0.990028
1.182197 0.994958
1.182227 0.996665
1.182257 0.995267
1.182286 0.992903
1.182316 0.991311
1.182346 0.990978
1.182375 0.991110
1.182405 0.990967
1.182435 0.990388
1.182464 0.988389
1.182494 0.982408
1.182524 0.968670
1.182554 0.946135
1.182583 0.913483
1.182613 0.888087
1.182643 0.867875
1.182672 0.852753
1.182702 0.831988
1.182732 0.782434
1.182761 0.715114
1.182791 0.661500
1.182821 0.648041
1.182850 0.692800
1.182880 0.768198
1.182910 0.859287
1.182939 0.912687
1.182969 0.929954
1.182999 0.922100
1.183028 0.911712
1.183058 0.914853
1.183088 0.932707
1.183117 0.955924
1.183147 0.983592
1.183177 0.997409
1.183206 1.003029
1.183236 1.005149
1.183266 1.005908
